work_id,rating,count,total_ratings,percent
1158785,1,7,3054,0.22920759659463003
1939598,1,123,5558,2.2130262684418858
851747,1,534,26761,1.9954411270131909
14325072,1,135,27791,0.4857687740635458
967250,1,259,9401,2.7550260610573343
3172830,1,72,3779,1.905265943371262
282950,1,182,42305,0.43020919513059924
11366182,1,394,14908,2.6428763080225384
385370,1,566,11620,4.870912220309811
1157551,1,1020,24203,4.214353592529852
58557,1,61,1406,4.338549075391181
2836113,1,152,4348,3.4958601655933763
88830,1,283,8393,3.3718575002978675
5260866,1,120,10085,1.189885969261279
819071,1,132,63810,0.2068641278796427
5137688,1,67,8825,0.7592067988668555
1698999,1,1876,51911,3.6138775981969142
52107921,1,80,5335,1.499531396438613
565440,1,240,8379,2.8643036161833155
7403922,1,624,14955,4.1725175526579745
467637,1,172,19828,0.8674601573532379
2627714,1,109,8692,1.2540266912103084
717119,1,381,24624,1.547270955165692
17383259,1,167,2319,7.201379905131522
16181497,1,294,21848,1.3456609300622484
51752946,1,7,268,2.6119402985074625
1576318,1,90,3131,2.8744809964867453
2298572,1,1676,75793,2.2112860026651537
59968,1,137,7882,1.738137528546054
1267673,1,1029,22994,4.475080455771071
3183163,1,207,9514,2.175741013243641
3287813,1,26,8108,0.32067094227923043
2671306,1,92,5572,1.6511127063890882
976843,1,71,3302,2.150211992731678
1098021,1,157,5688,2.760196905766526
2307189,1,1799,50284,3.5776787845040174
19051480,1,2215,76837,2.882725770136783
48094802,1,113,3462,3.264009243212016
1374812,1,879,19408,4.529060181368508
6432580,1,51,10348,0.49284885968303055
425564,1,55,21677,0.2537251464686073
16696203,1,18,2447,0.7355946056395587
15729967,1,137,34326,0.3991143739439492
3125981,1,105,4221,2.4875621890547266
1959820,1,1007,96522,1.0432854685978326
582290,1,265,11995,2.209253855773239
3356874,1,182,12993,1.4007542522896943
50837187,1,6,2071,0.28971511347175277
6352548,1,43,4282,1.004203643157403
3873004,1,1459,35964,4.056834612390168
2772203,1,113,12651,0.8932100229230892
10479953,1,718,79820,0.8995239288398897
43111516,1,80,2234,3.5810205908683974
1602074,1,2537,189234,1.3406681674540515
7353876,1,58,1725,3.3623188405797104
13897390,1,450,13318,3.3788857185763623
54007532,1,536,20224,2.6503164556962022
6432656,1,139,2001,6.946526736631683
13167950,1,2885,23228,12.420354744274151
3437470,1,69,3560,1.9382022471910114
139049,1,391,15908,2.457882826250943
2798280,1,1226,45678,2.6840054293095146
6813250,1,40,1491,2.682763246143528
40069583,1,86,2726,3.1548055759354363
2212445,1,575,19331,2.9744969220423156
816372,1,1811,45419,3.9873180827407033
203509,1,219,5926,3.695578805264934
1294338,1,439,15869,2.766399899174491
2884161,1,3411,206377,1.6528004574153128
2762468,1,145,5041,2.876413410037691
2776383,1,94,3464,2.7136258660508084
1836389,1,3686,105103,3.5070359552058457
563679,1,507,2222,22.817281728172816
7627945,1,1904,17253,11.035761896481771
1030623,1,263,7875,3.33968253968254
3119231,1,1463,37365,3.9154288772915833
1083237,1,15,718,2.0891364902506964
17003601,1,471,14379,3.275610264969748
1304282,1,436,7674,5.681522022413344
997754,1,114,12466,0.9144874057436226
2670,1,89,5706,1.5597616543988784
1241552,1,317,25722,1.2324080553611694
5149975,1,9,5016,0.17942583732057416
8081458,1,102,2596,3.9291217257318953
12872162,1,347,7907,4.388516504363222
40447706,1,127,12922,0.982819996904504
376514,1,161,23596,0.6823190371249365
374972,1,75,10140,0.7396449704142012
53295266,1,229,4616,4.961005199306759
4880711,1,263,9670,2.719751809720786
2056484,1,225,20997,1.0715816545220747
6895674,1,38,7980,0.4761904761904762
1268508,1,201,11808,1.7022357723577235
26732095,1,1600,40182,3.9818824349211086
2038476,1,40,5055,0.791295746785361
1796970,1,124,5315,2.3330197554092194
1205304,1,1238,56563,2.1887099340558316
835999,1,193,4381,4.4053868979685005
6627894,1,470,53998,0.8704026075039817
2466169,1,137,1588,8.6272040302267
6678900,1,582,7338,7.931316434995912
3394353,1,145,9102,1.5930564711052517
7904929,1,190,10117,1.8780270831274093
1179040,1,40,2400,1.6666666666666667
18221291,1,159,2020,7.871287128712871
580854,1,148,10206,1.450127376053302
6987450,1,29,2704,1.0724852071005917
12823575,1,12,3616,0.33185840707964603
2060095,1,1056,37428,2.8214171208720744
1212277,1,198,19417,1.01972498326209
2506046,1,88,5011,1.7561364997006583
602382,1,41,1231,3.3306255077173033
2695313,1,119,7834,1.5190196579014552
1142652,1,50,10645,0.4697040864255519
6188270,1,76,6122,1.2414243711205488
4030673,1,402,14441,2.783740738176027
15949671,1,14,2414,0.579950289975145
15949665,1,19,6026,0.31530036508463327
45654942,1,361,12007,3.0065794952944116
5799792,1,831,8645,9.612492770387506
41394,1,208,22536,0.9229676961306355
824466,1,85,2946,2.885268160217244
3194786,1,344,13447,2.5581914181601846
1647701,1,164,10879,1.507491497380274
4984643,1,206,18752,1.0985494880546076
1259287,1,116,9015,1.2867443150305047
292054,1,359,4609,7.789108266435235
1189398,1,655,18775,3.488681757656458
22829,1,143,15133,0.9449547346857861
1854517,1,1209,74517,1.6224485687829624
4315321,1,46,1148,4.006968641114982
2410127,1,487,25878,1.8819074117010586
34270,1,313,5743,5.450113181264148
